temperature_c,building_sqm,occupancy_pct,is_weekday,energy_kwh
32.8,285.7,80.6,1,554.45
54.8,257.4,127.3,1,787.62
70.3,103.0,130.1,1,777.46
64.8,482.1,196.8,0,728.06
76.4,310.8,155.8,0,923.08
37.6,215.5,140.6,1,739.19
47.3,266.1,164.0,0,594.75
43.9,66.8,114.7,0,467.7
59.6,131.9,191.4,0,729.21
31.8,250.9,80.6,0,336.74
63.1,386.8,99.8,1,849.53
57.0,351.6,180.5,0,642.86
88.3,466.0,75.8,0,772.79
46.5,313.8,159.0,0,538.54
30.4,149.4,144.1,0,400.37
62.8,228.1,177.7,0,753.65
36.2,455.5,107.1,0,340.92
76.9,413.8,135.6,1,880.62
52.6,145.9,78.4,1,757.71
62.8,237.6,199.6,1,888.94
