temperature_c,building_sqm,occupancy_pct,is_weekday,energy_kwh
29.6,137.0,49.0,1,517.41
21.0,183.4,74.0,0,360.97
15.6,134.9,93.5,0,237.11
24.4,66.0,36.0,1,556.98
19.4,201.7,42.8,1,300.57
31.7,131.3,55.3,0,414.42
42.0,227.8,86.0,1,618.24
32.9,375.4,94.6,0,329.37
19.1,430.8,57.3,1,401.28
27.2,493.0,25.3,1,414.53
35.3,67.6,92.5,1,644.72
32.2,75.8,50.2,0,447.91
26.8,490.4,36.3,1,483.41
37.0,227.1,30.5,1,568.37
15.6,468.5,82.4,1,409.22
16.7,488.7,65.5,0,262.38
29.6,248.6,73.3,1,576.79
19.6,203.1,24.8,0,140.0
29.8,57.8,30.1,0,297.83
22.7,62.3,56.2,1,521.63
44.8,204.1,65.5,1,676.83
31.2,75.6,51.9,0,413.37
34.4,213.1,88.9,1,602.1
17.1,196.4,87.8,0,208.48
43.8,404.7,74.7,0,471.17
